QUESTION_TEXT,QUESTION_SLUG,HAS_ANSWER_SET,IS_MULTIPLE_RESPONSE,ANSWER_VALUE,ANSWER_TEXT,EXTRACT_COLUMN_HEADER,EXTRACT_COLUMN_VALUE,EXTRACT_COLUMN_OTHER
Most of my student peers try to form friendships with people who have different identities than themselves.,15566-15567,1,0,1,Strongly disagree,15566-15567,1,
Most of my student peers try to form friendships with people who have different identities than themselves.,15566-15567,1,0,2,Disagree,15566-15567,2,
Most of my student peers try to form friendships with people who have different identities than themselves.,15566-15567,1,0,3,Neutral,15566-15567,3,
Most of my student peers try to form friendships with people who have different identities than themselves.,15566-15567,1,0,4,Agree,15566-15567,4,
Most of my student peers try to form friendships with people who have different identities than themselves.,15566-15567,1,0,5,Strongly agree,15566-15567,5,
I would intervene if I saw a bias-related incident.,15566-15568,1,0,1,Strongly disagree,15566-15568,1,
I would intervene if I saw a bias-related incident.,15566-15568,1,0,2,Disagree,15566-15568,2,
I would intervene if I saw a bias-related incident.,15566-15568,1,0,3,Neutral,15566-15568,3,
I would intervene if I saw a bias-related incident.,15566-15568,1,0,4,Agree,15566-15568,4,
I would intervene if I saw a bias-related incident.,15566-15568,1,0,5,Strongly agree,15566-15568,5,
I try to form friendships with people who have different identities than me.,15566-15569,1,0,1,Strongly disagree,15566-15569,1,
I try to form friendships with people who have different identities than me.,15566-15569,1,0,2,Disagree,15566-15569,2,
I try to form friendships with people who have different identities than me.,15566-15569,1,0,3,Neutral,15566-15569,3,
I try to form friendships with people who have different identities than me.,15566-15569,1,0,4,Agree,15566-15569,4,
I try to form friendships with people who have different identities than me.,15566-15569,1,0,5,Strongly agree,15566-15569,5,
I can identify when someone is engaging in bias-related behavior.,15566-15570,1,0,1,Strongly disagree,15566-15570,1,
I can identify when someone is engaging in bias-related behavior.,15566-15570,1,0,2,Disagree,15566-15570,2,
I can identify when someone is engaging in bias-related behavior.,15566-15570,1,0,3,Neutral,15566-15570,3,
I can identify when someone is engaging in bias-related behavior.,15566-15570,1,0,4,Agree,15566-15570,4,
I can identify when someone is engaging in bias-related behavior.,15566-15570,1,0,5,Strongly agree,15566-15570,5,
Most of my student peers believe that it is important to treat others with respect.,15566-15571,1,0,1,Strongly disagree,15566-15571,1,
Most of my student peers believe that it is important to treat others with respect.,15566-15571,1,0,2,Disagree,15566-15571,2,
Most of my student peers believe that it is important to treat others with respect.,15566-15571,1,0,3,Neutral,15566-15571,3,
Most of my student peers believe that it is important to treat others with respect.,15566-15571,1,0,4,Agree,15566-15571,4,
Most of my student peers believe that it is important to treat others with respect.,15566-15571,1,0,5,Strongly agree,15566-15571,5,
I am aware of support resources related to bias incidents at my school.,15566-15572,1,0,1,Strongly disagree,15566-15572,1,
I am aware of support resources related to bias incidents at my school.,15566-15572,1,0,2,Disagree,15566-15572,2,
I am aware of support resources related to bias incidents at my school.,15566-15572,1,0,3,Neutral,15566-15572,3,
I am aware of support resources related to bias incidents at my school.,15566-15572,1,0,4,Agree,15566-15572,4,
I am aware of support resources related to bias incidents at my school.,15566-15572,1,0,5,Strongly agree,15566-15572,5,
I know how to report a bias incident at my school.,15566-15573,1,0,1,Strongly disagree,15566-15573,1,
I know how to report a bias incident at my school.,15566-15573,1,0,2,Disagree,15566-15573,2,
I know how to report a bias incident at my school.,15566-15573,1,0,3,Neutral,15566-15573,3,
I know how to report a bias incident at my school.,15566-15573,1,0,4,Agree,15566-15573,4,
I know how to report a bias incident at my school.,15566-15573,1,0,5,Strongly agree,15566-15573,5,
I believe that it is important to treat others with respect.,15566-15574,1,0,1,Strongly disagree,15566-15574,1,
I believe that it is important to treat others with respect.,15566-15574,1,0,2,Disagree,15566-15574,2,
I believe that it is important to treat others with respect.,15566-15574,1,0,3,Neutral,15566-15574,3,
I believe that it is important to treat others with respect.,15566-15574,1,0,4,Agree,15566-15574,4,
I believe that it is important to treat others with respect.,15566-15574,1,0,5,Strongly agree,15566-15574,5,
I feel comfortable reporting a bias incident to the appropriate people at my school.,15566-15575,1,0,1,Strongly disagree,15566-15575,1,
I feel comfortable reporting a bias incident to the appropriate people at my school.,15566-15575,1,0,2,Disagree,15566-15575,2,
I feel comfortable reporting a bias incident to the appropriate people at my school.,15566-15575,1,0,3,Neutral,15566-15575,3,
I feel comfortable reporting a bias incident to the appropriate people at my school.,15566-15575,1,0,4,Agree,15566-15575,4,
I feel comfortable reporting a bias incident to the appropriate people at my school.,15566-15575,1,0,5,Strongly agree,15566-15575,5,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,15566-15576,1,0,1,Strongly disagree,15566-15576,1,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,15566-15576,1,0,2,Disagree,15566-15576,2,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,15566-15576,1,0,3,Neutral,15566-15576,3,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,15566-15576,1,0,4,Agree,15566-15576,4,
I would respect a person who spoke up if someone was engaging in bias-related behavior.,15566-15576,1,0,5,Strongly agree,15566-15576,5,
Most of my student peers would intervene if they saw a bias-related incident.,15566-15577,1,0,1,Strongly disagree,15566-15577,1,
Most of my student peers would intervene if they saw a bias-related incident.,15566-15577,1,0,2,Disagree,15566-15577,2,
Most of my student peers would intervene if they saw a bias-related incident.,15566-15577,1,0,3,Neutral,15566-15577,3,
Most of my student peers would intervene if they saw a bias-related incident.,15566-15577,1,0,4,Agree,15566-15577,4,
Most of my student peers would intervene if they saw a bias-related incident.,15566-15577,1,0,5,Strongly agree,15566-15577,5,
"My classmates value a diverse, inclusive, and equitable campus community.",15578-15579,1,0,1,Strongly disagree,15578-15579,1,
"My classmates value a diverse, inclusive, and equitable campus community.",15578-15579,1,0,2,Disagree,15578-15579,2,
"My classmates value a diverse, inclusive, and equitable campus community.",15578-15579,1,0,3,Neutral,15578-15579,3,
"My classmates value a diverse, inclusive, and equitable campus community.",15578-15579,1,0,4,Agree,15578-15579,4,
